AFNOR;SANDRE;DENOMINATION;CL1;CL2;CL3;CL4;CL5;CL6;CL7;Val.Ind.;Origine
LHUT;14501;Lemnicola hungarica f, anormale                                                                                                           ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
LIMB;38627;Luticola imbricata (Bock) Levkov, Metzeltin et Pavlov in Levkov, et al,                                                                   ;0,16089;0,66205;0,13192;0,02958;0,0119;0,0035;0,00015;1,172548648;T-Cor
LINT;38628;Luticola intermedia (Hustedt) Levkov, Metzeltin et Pavlov in Levkov, et al,                                                               ;0;0,03618;0,05166;0,06401;0,44259;0,21216;0,1934;0,878641232;T-Cor
LKUE;43232;Lindavia kuetzingiana (Thwaites), Nakov, Guillory, Julius, Theriot et Alverson var, kuetzingiana                                          ;0;0;0,03375;0,53176;0,43449;0;0;1,160179763;T-Cor
LMIT;14564;Luticola mitigata (Hustedt) D,G, Mann                                                                                                     ;0;0,26406;0,34373;0,38524;0,0027;0,00427;0;0,966495846;L-P
LMTP;14541;Luticola muticopsis (Van Heurck) D,G, Mann in Round Crawford et Mann                                                                      ;0,00624;0,46319;0,40238;0,11039;0,00974;0,00807;0;1,047337709;T-Cor
LMUA;14542;Luticola mutica f, anormale                                                                                                               ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
LMUT;7783;Luticola mutica (Kützing) D,G, Mann in Round Crawford et Mann var, mutica                                                                 ;0,16089;0,66205;0,13192;0,02958;0,0119;0,0035;0,00015;1,172548648;L-P
LMVE;30838;Luticola mutica var, ventricosa (Kützing) Hamilton                                                                                        ;0,00624;0,46319;0,40238;0,11039;0,00974;0,00807;0;1,047337709;T-Cor
LNAV;32409;Luticola naviculoides J,R, Johansen in Johansen et al,                                                                                    ;0;0;0,89319;0,09367;0,01314;0;0;1,506530983;T-Cor
LNDI;30836;Luticola nivalis var, distenguenda (Hustedt) E,Y, Haworth & M,G,Kelly                                                                     ;0,00479;0,14177;0,36758;0,40668;0,0723;0,00198;0,00489;0,949178291;T-Cor
LNIV;7784;Luticola nivalis (Ehrenberg) D,G, Mann in Round Crawford et Mann var, nivalis                                                             ;0,00479;0,14177;0,36758;0,40668;0,0723;0,00198;0,00489;0,949178291;L-P
LOBT;14568;Luticola obligata f, anormale                                                                                                             ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
LOCE;43233;Lindavia ocellata (Pantocsek) Nakov, Guillory, Julius, Theriot et Alverson                                                                ;0,00424;0,01503;0,0399;0,2952;0,5406;0,10486;0,00018;1,052229965;T-Cor
LPEG;14570;Luticola peguana (Grunow in Cl, et Moeller) D,G, Mann                                                                                     ;0;0;0,73967;0,22557;0;0,03475;0;1,305973482;L-P
LPET;14571;Luticola peguana f, anormale                                                                                                              ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
LPOM;43234;Lindavia polymorpha (Meyer et Håkansson) Nakov, Guillory, Julius, Theriot et Alverson                                                     ;0,0044;0,00204;0,00313;0,31546;0,57075;0,09523;0,009;1,110752856;T-Cor
LPRA;42871;Lindavia praetermissa (Lund) Nakov, Guillory, Julius, Theriot et Alverson                                                                 ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
LRAD;41031;Lindavia radiosa (Grunow) De Toni et Forti var, radiosa                                                                                   ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
LRSS;43235;Lindavia rossii (Håkansson) Nakov, Guillory, Julius, Theriot et Alverson                                                                  ;0;0;0;0,04127;0,86716;0,09157;0;1,466359767;T-Cor
LSHU;41510;Lindavia schumannii (Grunow) Nakov, Guillory, Julius, Theriot et Alverson                                                                 ;0;0;0,03375;0,53176;0,43449;0;0;1,160179763;T-Cor
LSOC;;Lindavia socialis (Schütt) De Toni et Forti                                                                                               ;0;0;0,04114;0,02161;0,01513;0,86295;0,05917;1,455800549;T-Cor
LTER;34820;Luticola terminata (Hustedt) J,R, Johansen in Johansen et al, var, terminata                                                              ;0,11358;0,29164;0,33725;0,17203;0,07514;0,01027;0,0001;0,797875758;T-Cor
LTPA;;Lindavia trichonidea var, parva (Economou-Amilli) Nakov, Guillory, Julius, Theriot et Alverson                                            ;0,00424;0,01503;0,0399;0,2952;0,5406;0,10486;0,00018;1,052229965;T-Cor
LUMI;14731;Luticola minor (R,M, Patrick) Mayama                                                                                                      ;0;0;0,89319;0,09367;0,01314;0;0;1,506530983;L-P
LUNT;32801;Luticola undulata f, anormale                                                                                                             ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
LVCF;14700;Luticola ventriconfusa Lange-Bertalot                                                                                                     ;0;0;1;0;0;0;0;1,666458661;L-P
LVEN;7787;Luticola ventricosa (Kützing) D,G, Mann in Round Crawford et Mann                                                                         ;0,00624;0,46319;0,40238;0,11039;0,00974;0,00807;0;1,047337709;L-P
LWUE;43236;Lindavia wuethrichiana (Druart et Straub )Nakov, Guillory, Julius, Theriot et Alverson                                                    ;0;0;0;0,04413;0,62392;0,29168;0,04028;1,166710205;T-Cor
LYGD;;Lysigonium distans (Ehrenberg) Trevisan                                                                                                   ;0,00018;0,00605;0,05996;0,22356;0,58971;0,11009;0,01045;1,08242047;T-Cor
LYNI;;Lysigonium nivale (W, Smith) Kuntze                                                                                                       ;0;0;0;0,00318;0,00223;0,05298;0,9416;1,577488527;T-Cor
MAAL;32410;Mayamaea atomus var, alcimonica (Reichardt) Reichardt                                                                                     ;0;0,00159;0,05462;0,11377;0,27405;0,55597;0;1,063553984;L-P
MAAT;14703;Mayamaea atomus (Kützing) Lange-Bertalot var, atomus                                                                                      ;0,03552;0,20347;0,35237;0,31237;0,08471;0,01082;0,00073;0,849987017;L-P
MACV;43237;Melosira ambigua (Grunow in Van Heurck) O, Müller f, curvata Skabichevskii(Skabicevsky)                                                   ;0,00774;0,02737;0,12454;0,41909;0,39255;0,02814;0,00058;0,983506197;T-Cor
MAEX;14704;Mayamaea excelsa (Krasske) Lange-Bertalot                                                                                                 ;0;0;0,10931;0,29732;0,51038;0,05701;0,02598;1,011472666;L-P
MAFO;14707;Mayamaea fossalis (Krasske) Lange-Bertalot var, fossalis                                                                                  ;0;0;0,12654;0,54277;0,21722;0,0983;0,01516;1,01594051;L-P
MAGR;14710;Mayamaea agrestis Hustedt) Lange-Bertalot                                                                                                 ;0;0,00536;0,02059;0,48005;0,26175;0,18391;0,04835;0,965277999;L-P
MALC;14742;Mayamaea alcimonica (E, Reichardt) C,E, Wetzel, Barragán & Ector in Barragán et al,                                                       ;0;0,00159;0,05462;0,11377;0,27405;0,55597;0;1,063553984;T-Cor
MAMB;8662;Melosira ambigua (Grunow in Van Heurck) O, Müller                                                                                         ;0,00774;0,02737;0,12454;0,41909;0,39255;0,02814;0,00058;0,983506197;T-Cor
MANC;14747;Meridion anceps (Ehrenberg) D,M, Williams                                                                                                 ;0;0;0,04369;0;0,25713;0,63636;0,06283;1,165468256;T-Cor
MAPE;20686;Mayamaea atomus var, permitis (Hustedt) Lange-Bertalot                                                                                    ;0,04221;0,33397;0,34305;0,18555;0,07607;0,01138;0,00777;0,849403598;L-P
MAPT;14714;Mayamaea atomus f, anormale                                                                                                               ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
MARE;8663;Melosira arenaria Moore ex Ralfs                                                                                                          ;0;0;0,00513;0,00738;0,23052;0,52966;0,22731;1,042367834;T-Cor
MASE;14718;Mayamaea asellus (Weinhold) Lange-Bertalot                                                                                                ;0;0;0,05676;0,47694;0,33403;0,13227;0;1,003800203;L-P
MBIN;8664;Melosira binderana Kützing                                                                                                                ;0;0;0,00763;0,03205;0,88388;0,07644;0;1,490009824;T-Cor
MCCO;14761;Meridion circulare var, constrictum (Ralfs) Van Heurck                                                                                    ;0;0,00528;0,12126;0,1214;0,23691;0,23635;0,27881;0,730925439;L-P
MCIR;14763;Meridion circulare (Greville) C,A, Agardh var, circulare                                                                                  ;0,00036;0,00158;0,03939;0,21051;0,33544;0,24442;0,1683;0,79657975;L-P
MCON;6739;Meridion constrictum Ralfs                                                                                                                ;0;0,00528;0,12126;0,1214;0,23691;0,23635;0,27881;0,730925439;T-Cor
MCRE;31878;Melosira crenulata (Ehrenberg) Kützing var, crenulata                                                                                     ;0;0,08585;0,15191;0,32822;0,34477;0,08924;0;0,836386694;T-Cor
MCTG;14764;Meridion circulare f, anormale                                                                                                            ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
MCVA;30954;Melosira crenulata var, valida Grunow in Van Heurck                                                                                       ;0;0,01597;0,07604;0,2769;0,59904;0,02658;0,00547;1,121145866;T-Cor
MDAF;8670;Melosira distans var, africana O, Müller                                                                                                  ;0;0;0;0,00318;0,00223;0,05298;0,9416;1,577488527;T-Cor
